City,Locality,BHK,Area_SqFt,Bathrooms,Balconies,Furnishing,Property_Age_Yrs,Price_Lakhs_INR
Chennai,Velachery,1,547,1,0,Fully Furnished,18,27.41
Delhi NCR,Noida Sec 62,3,1405,3,3,Unfurnished,15,86.13
Pune,Kharadi,1,564,1,2,Semi-Furnished,16,24.96
Bangalore,Whitefield,1,600,1,3,Semi-Furnished,9,39.26
Hyderabad,Gachibowli,3,1725,2,2,Semi-Furnished,1,112.26
Pune,Kharadi,2,1288,1,1,Fully Furnished,2,82.26
Hyderabad,Hitech City,2,1041,1,2,Unfurnished,19,46.56
Delhi NCR,Noida Sec 62,1,613,1,3,Unfurnished,9,46.59
Hyderabad,Hitech City,1,530,1,3,Semi-Furnished,9,30.86
Delhi NCR,Noida Sec 62,1,622,1,3,Fully Furnished,11,45.07
Delhi NCR,Gurgaon Sec 56,2,1142,2,3,Unfurnished,3,93.14
Delhi NCR,Gurgaon Sec 56,2,1017,2,0,Semi-Furnished,9,78.06
Hyderabad,Hitech City,2,1121,2,1,Semi-Furnished,18,59.51
Bangalore,Whitefield,4,1904,4,2,Semi-Furnished,4,136.01
Bangalore,Koramangala,2,1303,2,3,Semi-Furnished,1,99.2
Bangalore,Whitefield,3,1584,2,2,Semi-Furnished,8,109.94
Bangalore,Koramangala,3,1464,3,2,Semi-Furnished,9,97.52
Chennai,Velachery,4,2214,4,2,Unfurnished,15,94.82
Bangalore,Whitefield,3,1287,2,1,Semi-Furnished,17,71.94
Delhi NCR,Noida Sec 62,2,1080,2,2,Unfurnished,19,67.81
Hyderabad,Gachibowli,2,1333,2,2,Unfurnished,16,65.6
Hyderabad,Gachibowli,3,1736,3,3,Semi-Furnished,3,111.2
Delhi NCR,Noida Sec 62,2,1221,2,2,Fully Furnished,12,93.49
Delhi NCR,Noida Sec 62,2,1094,1,0,Semi-Furnished,12,79.05
Mumbai,Bandra,3,1706,2,2,Fully Furnished,14,194.2
Hyderabad,Hitech City,2,1211,2,2,Unfurnished,1,77.18
Delhi NCR,Gurgaon Sec 56,1,815,1,1,Semi-Furnished,14,57.57
Hyderabad,Hitech City,2,946,2,2,Semi-Furnished,6,57.64
Delhi NCR,Gurgaon Sec 56,2,1270,2,2,Fully Furnished,14,91.93
Delhi NCR,Noida Sec 62,2,962,2,2,Semi-Furnished,13,67.21
Mumbai,Bandra,4,1806,4,2,Semi-Furnished,6,232.22
Hyderabad,Gachibowli,2,1099,1,2,Fully Furnished,6,63.94
Chennai,Velachery,3,1539,2,2,Unfurnished,19,63.51
Bangalore,Koramangala,2,1294,2,1,Fully Furnished,10,84.94
Hyderabad,Gachibowli,3,1518,2,1,Semi-Furnished,14,78.02
Bangalore,Whitefield,3,1599,3,2,Fully Furnished,18,91.81
Pune,Kharadi,3,1397,3,1,Semi-Furnished,13,68.7
Mumbai,Bandra,2,913,2,2,Unfurnished,15,101.93
Hyderabad,Hitech City,2,1045,2,2,Semi-Furnished,9,61.93
Delhi NCR,Gurgaon Sec 56,2,1188,1,1,Semi-Furnished,16,78.27
Mumbai,Bandra,2,1493,2,1,Semi-Furnished,10,176.88
Pune,Kharadi,2,940,2,0,Unfurnished,2,48.35
Delhi NCR,Gurgaon Sec 56,3,1824,2,2,Semi-Furnished,0,157.12
Mumbai,Andheri West,4,1957,4,3,Unfurnished,5,259.04
Delhi NCR,Gurgaon Sec 56,2,1315,2,1,Unfurnished,17,79.54
Bangalore,Koramangala,1,450,1,2,Fully Furnished,1,41.41
Delhi NCR,Noida Sec 62,3,1590,3,1,Semi-Furnished,17,101.32
Pune,Kharadi,2,1124,2,3,Semi-Furnished,12,55.12
Mumbai,Bandra,3,1482,3,1,Unfurnished,17,159.09
Pune,Kharadi,3,1509,2,1,Semi-Furnished,5,87.98
Delhi NCR,Gurgaon Sec 56,3,1550,3,1,Semi-Furnished,11,110.25
Hyderabad,Gachibowli,3,1570,3,2,Fully Furnished,7,97.6
Chennai,Velachery,2,814,2,1,Semi-Furnished,8,40.86
Delhi NCR,Gurgaon Sec 56,2,910,2,3,Fully Furnished,12,71.52
Bangalore,Whitefield,1,516,1,3,Unfurnished,17,33.53
Mumbai,Bandra,4,1582,4,1,Unfurnished,17,162.69
Delhi NCR,Gurgaon Sec 56,2,892,2,2,Semi-Furnished,13,67.4
Delhi NCR,Gurgaon Sec 56,2,1212,1,2,Unfurnished,17,75.92
Delhi NCR,Gurgaon Sec 56,3,1596,2,1,Semi-Furnished,7,124.09
Bangalore,Koramangala,2,960,1,0,Semi-Furnished,12,63.91
Bangalore,Whitefield,3,1691,3,3,Unfurnished,9,110.93
Mumbai,Bandra,3,1549,3,2,Unfurnished,0,212.77
Hyderabad,Hitech City,2,958,2,2,Semi-Furnished,12,52.19
Delhi NCR,Gurgaon Sec 56,1,744,1,1,Unfurnished,1,61.05
Mumbai,Andheri West,3,1751,3,0,Unfurnished,12,201.92
Hyderabad,Gachibowli,2,1046,2,1,Semi-Furnished,11,60.91
Hyderabad,Hitech City,2,1211,1,1,Semi-Furnished,9,75.83
Delhi NCR,Gurgaon Sec 56,4,2044,4,3,Fully Furnished,17,138.2
Mumbai,Andheri West,4,2049,4,2,Fully Furnished,8,256.5
Hyderabad,Hitech City,2,911,2,3,Semi-Furnished,3,58.73
Bangalore,Koramangala,3,1344,3,2,Semi-Furnished,1,104.86
Hyderabad,Hitech City,3,1381,3,0,Unfurnished,7,79.76
Chennai,Velachery,2,1147,1,0,Semi-Furnished,9,53.5
Hyderabad,Hitech City,2,1090,2,1,Semi-Furnished,16,54.56
Hyderabad,Gachibowli,1,622,1,3,Semi-Furnished,18,29.99
Delhi NCR,Noida Sec 62,2,1294,2,1,Semi-Furnished,14,89.33
Bangalore,Koramangala,2,1331,2,1,Unfurnished,6,88.61
Pune,Kharadi,2,816,2,3,Semi-Furnished,7,42.98
Hyderabad,Gachibowli,2,778,2,1,Unfurnished,18,35.38
Mumbai,Bandra,3,1480,3,2,Semi-Furnished,12,168.49
Mumbai,Bandra,1,716,1,2,Fully Furnished,16,85.76
Chennai,Velachery,1,737,1,1,Unfurnished,10,38.44
Chennai,Velachery,3,1509,3,3,Fully Furnished,1,85.84
Bangalore,Koramangala,2,780,2,3,Semi-Furnished,13,48.67
Mumbai,Andheri West,3,1834,3,1,Semi-Furnished,17,196.74
Bangalore,Koramangala,2,995,1,2,Unfurnished,8,67.66
Bangalore,Koramangala,3,1604,2,3,Unfurnished,3,115.55
Pune,Kharadi,1,653,1,2,Unfurnished,17,29.11
Chennai,Velachery,4,1950,3,2,Semi-Furnished,8,99.37
Hyderabad,Gachibowli,4,2168,4,1,Unfurnished,12,111.83
Hyderabad,Gachibowli,4,2191,3,1,Fully Furnished,3,141.26
Chennai,Velachery,1,450,1,2,Semi-Furnished,8,25.8
Delhi NCR,Gurgaon Sec 56,4,1612,4,2,Fully Furnished,17,109.01
Mumbai,Andheri West,3,1451,2,2,Fully Furnished,0,210.55
Delhi NCR,Gurgaon Sec 56,2,1152,2,2,Semi-Furnished,15,79.87
Chennai,Velachery,2,1142,2,2,Unfurnished,18,43.42
Mumbai,Bandra,4,2054,4,1,Fully Furnished,0,288.31
Hyderabad,Gachibowli,1,820,1,3,Semi-Furnished,4,54.95
Hyderabad,Hitech City,3,1704,3,2,Semi-Furnished,19,83.96
Pune,Kharadi,2,1034,1,2,Fully Furnished,10,55.24
Mumbai,Andheri West,2,891,1,2,Semi-Furnished,15,96.18
Mumbai,Andheri West,2,985,2,1,Fully Furnished,2,139.1
Pune,Kharadi,3,1729,3,2,Semi-Furnished,2,98.22
Hyderabad,Hitech City,1,543,1,1,Semi-Furnished,16,26.67
Mumbai,Andheri West,3,1721,2,2,Semi-Furnished,11,204.69
Hyderabad,Gachibowli,1,752,1,1,Semi-Furnished,3,47.69
Hyderabad,Hitech City,3,1876,3,2,Semi-Furnished,10,107.34
Hyderabad,Hitech City,4,1998,4,2,Semi-Furnished,15,98.78
Delhi NCR,Gurgaon Sec 56,3,1199,2,3,Semi-Furnished,4,100.31
Bangalore,Whitefield,1,953,1,2,Semi-Furnished,12,66.62
Chennai,Velachery,2,1105,2,3,Unfurnished,1,61.01
Pune,Kharadi,3,1531,3,2,Semi-Furnished,0,95.96
Mumbai,Bandra,1,866,1,1,Semi-Furnished,15,92.29
Bangalore,Koramangala,3,1498,3,2,Semi-Furnished,3,106.5
Hyderabad,Gachibowli,1,489,1,2,Fully Furnished,1,38.43
Delhi NCR,Noida Sec 62,3,1497,3,0,Semi-Furnished,16,98.58
Bangalore,Koramangala,2,1187,2,2,Fully Furnished,16,70.83
Hyderabad,Gachibowli,2,1041,2,1,Unfurnished,14,53.89
Mumbai,Bandra,3,1824,3,1,Semi-Furnished,11,211.16
Bangalore,Koramangala,3,1404,2,2,Semi-Furnished,2,103.99
Delhi NCR,Noida Sec 62,3,1432,3,1,Fully Furnished,15,103.35
Chennai,Velachery,3,1343,2,2,Unfurnished,13,65.02
Bangalore,Whitefield,3,1838,3,2,Semi-Furnished,13,115.46
Bangalore,Whitefield,2,1361,1,2,Unfurnished,19,73.92
Delhi NCR,Noida Sec 62,2,1055,2,2,Semi-Furnished,0,96.39
Bangalore,Koramangala,1,516,1,3,Fully Furnished,7,35.0
Mumbai,Bandra,1,450,1,1,Semi-Furnished,4,58.29
Delhi NCR,Noida Sec 62,2,1318,2,1,Fully Furnished,0,119.67
Bangalore,Whitefield,3,1644,3,1,Fully Furnished,19,98.68
Hyderabad,Hitech City,2,1197,2,3,Semi-Furnished,4,77.19
Chennai,Velachery,2,1043,2,2,Semi-Furnished,18,44.12
Bangalore,Whitefield,3,1732,3,2,Fully Furnished,15,105.24
Pune,Kharadi,1,654,1,1,Semi-Furnished,9,36.16
Hyderabad,Gachibowli,3,1370,3,0,Fully Furnished,15,79.72
Pune,Kharadi,3,1412,3,0,Fully Furnished,8,84.68
Hyderabad,Hitech City,3,1590,2,3,Unfurnished,11,90.06
Hyderabad,Gachibowli,1,450,1,3,Semi-Furnished,15,28.35
Delhi NCR,Noida Sec 62,2,1179,2,1,Semi-Furnished,2,93.64
Mumbai,Bandra,2,956,2,2,Fully Furnished,10,115.27
Delhi NCR,Noida Sec 62,2,1027,2,2,Unfurnished,0,87.31
Hyderabad,Hitech City,2,1018,2,2,Semi-Furnished,14,53.8
Delhi NCR,Gurgaon Sec 56,3,1500,3,2,Unfurnished,5,122.46
Mumbai,Bandra,4,2078,4,2,Unfurnished,11,245.69
Bangalore,Koramangala,1,450,1,0,Semi-Furnished,11,31.45
Bangalore,Whitefield,2,998,2,2,Semi-Furnished,3,75.15
Bangalore,Koramangala,1,450,1,3,Semi-Furnished,5,33.11
Hyderabad,Hitech City,2,1021,2,0,Semi-Furnished,16,52.22
Bangalore,Whitefield,3,1396,3,0,Semi-Furnished,7,94.09
Bangalore,Koramangala,2,1119,2,2,Semi-Furnished,6,78.71
Chennai,Velachery,2,1166,2,2,Semi-Furnished,17,48.89
Hyderabad,Hitech City,2,1390,1,2,Semi-Furnished,19,69.86
Delhi NCR,Gurgaon Sec 56,2,1026,1,2,Semi-Furnished,12,72.72
Delhi NCR,Noida Sec 62,4,2201,4,2,Semi-Furnished,12,155.54
Delhi NCR,Noida Sec 62,1,566,1,2,Semi-Furnished,6,43.67
Chennai,Velachery,2,996,2,2,Fully Furnished,0,58.86
Bangalore,Koramangala,1,743,1,2,Semi-Furnished,2,55.46
Hyderabad,Gachibowli,2,1252,2,2,Unfurnished,14,64.02
Delhi NCR,Noida Sec 62,3,1714,3,2,Unfurnished,10,123.04
Delhi NCR,Noida Sec 62,3,1627,2,1,Unfurnished,16,109.72
Pune,Kharadi,4,2022,4,2,Unfurnished,17,89.86
Chennai,Velachery,2,1366,1,2,Fully Furnished,7,73.84
Mumbai,Bandra,2,1026,2,0,Fully Furnished,0,150.72
Chennai,Velachery,3,1420,3,2,Fully Furnished,16,67.83
Delhi NCR,Gurgaon Sec 56,3,1453,3,1,Semi-Furnished,11,111.14
Bangalore,Koramangala,2,904,2,2,Unfurnished,1,67.3
Bangalore,Whitefield,3,1447,3,3,Semi-Furnished,11,90.82
Mumbai,Andheri West,3,1789,2,3,Fully Furnished,9,223.35
Mumbai,Bandra,1,450,1,3,Unfurnished,10,55.22
Hyderabad,Hitech City,3,1813,2,1,Fully Furnished,15,88.07
Chennai,Velachery,2,865,2,1,Fully Furnished,3,54.18
Hyderabad,Gachibowli,2,1260,1,1,Unfurnished,14,61.06
Chennai,Velachery,4,1586,4,1,Semi-Furnished,4,88.95
Delhi NCR,Noida Sec 62,2,1362,2,3,Fully Furnished,9,106.2
Hyderabad,Gachibowli,4,1895,4,2,Semi-Furnished,9,110.38
Hyderabad,Gachibowli,3,1579,3,1,Fully Furnished,8,92.99
Hyderabad,Gachibowli,2,1087,2,3,Semi-Furnished,18,59.08
Mumbai,Bandra,4,1947,3,2,Unfurnished,7,241.17
Delhi NCR,Noida Sec 62,2,1332,2,0,Fully Furnished,7,99.7
Bangalore,Koramangala,1,811,1,3,Fully Furnished,18,51.11
Hyderabad,Hitech City,1,641,1,2,Semi-Furnished,13,33.01
